iter	Passed	Remaining
621	20094	5750
622	20127	5718
623	20161	5686
624	20195	5654
625	20226	5622
626	20255	5588
627	20285	5555
628	20316	5523
629	20345	5490
630	20377	5457
631	20410	5425
632	20441	5392
633	20472	5360
634	20502	5327
635	20533	5294
636	20565	5262
637	20596	5229
638	20626	5197
639	20656	5164
640	20686	5131
641	20718	5098
642	20749	5066
643	20778	5033
644	20808	5000
645	20838	4967
646	20871	4935
647	20902	4903
648	20932	4870
649	20962	4837
650	20991	4804
651	21023	4772
652	21053	4739
653	21086	4707
654	21117	4674
655	21149	4642
656	21182	4610
657	21214	4578
658	21244	4545
659	21272	4512
660	21304	4480
661	21342	4448
662	21376	4417
663	21405	4384
664	21438	4352
665	21468	4319
666	21499	4286
667	21530	4254
668	21562	4222
669	21593	4189
670	21626	4157
671	21657	4125
672	21687	4092
673	21720	4060
674	21755	4028
675	21787	3996
676	21820	3964
677	21849	3931
678	21880	3899
679	21914	3867
680	21946	3835
681	21982	3803
682	22014	3771
683	22048	3739
684	22083	3707
685	22115	3675
686	22147	3642
687	22179	3610
688	22213	3578
689	22250	3547
690	22281	3514
691	22315	3482
692	22348	3450
693	22379	3418
694	22409	3385
695	22438	3352
696	22468	3320
697	22499	3287
698	22529	3255
699	22560	3222
700	22589	3190
701	22620	3157
702	22655	3125
703	22686	3093
704	22715	3060
705	22747	3028
706	22774	2995
707	22806	2963
708	22835	2930
709	22867	2898
710	22896	2866
711	22928	2833
712	22957	2801
713	22985	2768
714	23015	2736
715	23047	2703
716	23083	2672
717	23115	2639
718	23149	2607
719	23182	2575
720	23216	2543
721	23249	2511
722	23281	2479
723	23312	2447
724	23346	2415
725	23378	2382
726	23408	2350
727	23436	2317
728	23467	2285
729	23496	2253
730	23525	2220
731	23556	2188
732	23588	2156
733	23619	2123
734	23649	2091
735	23681	2059
736	23712	2026
737	23741	1994
738	23772	1962
739	23803	1929
740	23834	1897
741	23863	1865
742	23893	1833
743	23924	1800
744	23956	1768
745	23990	1736
746	24022	1704
747	24052	1672
748	24082	1639
749	24115	1607
750	24150	1575
751	24184	1543
752	24218	1511
753	24247	1479
754	24276	1446
755	24306	1414
756	24338	1382
757	24370	1350
758	24401	1318
759	24435	1286
760	24471	1254
761	24504	1221
762	24536	1189
763	24565	1157
764	24595	1125
765	24626	1093
766	24655	1060
767	24686	1028
768	24717	996
769	24750	964
770	24781	932
771	24812	899
772	24842	867
773	24871	835
774	24903	803
775	24936	771
776	24964	738
777	24993	706
778	25024	674
779	25056	642
780	25081	610
781	25113	578
782	25143	545
783	25175	513
784	25203	481
785	25234	449
786	25263	417
787	25292	385
788	25322	353
789	25354	320
790	25387	288
791	25418	256
792	25449	224
793	25478	192
794	25508	160
795	25541	128
796	25571	96
797	25602	64
798	25633	32
799	25665	0
