jurirno,brkrNm,ldCodeNm,registDe,mnnmadr,estbsBeginDe,estbsEndDe,sttusSeCode,bsnmCmpnm,등록번호,거래완료,등록매물,총매물수,영업년수,일평균거래,구평균성사율,구평균매물수,지역권평균성사율,지역권평균매물수,보증보험유효,영업일수,거래성사율,지역권평균거래,trust_target,등록비율,규모지수,지역내백분위,지역중개사수,거래효율성,매물활용도,지역경쟁력,상대적성과,log_거래완료,log_총매물수,predicted_score,actual_grade,final_temperature,final_grade
11680-2025-00355,김한성,서울특별시 강남구,2025-10-21,서울특별시 강남구 논현동 174-19,2025-10-23,2026-10-22,1,도담공인중개사사무소,11680202500355,0,204,204,0.1150684931506849,0.0,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,45,0.0,5373.442307692308,1.0,0.9999999950980393,5.3230099791384085,0.08653846153846154,52,0.0,0.0,0.0,0.0,0.0,5.3230099791384085,74.33217215016934,D,0.0014668235491331557,C
11560-2025-00133,장진혁,서울특별시 영등포구,2025-10-23,서울특별시 영등포구 신길동 3966,2025-10-24,2026-10-23,1,마침표부동산공인중개사사무소,11560-2025-00133,34,60,94,0.1123287671232876,0.7906976560302871,1880.3,1916.0,1880.3,1916.0,1,43,0.36170212381167954,1880.3,33.35804027465326,0.6382978655500228,4.553876891600541,0.3,10,0.5666666572222224,0.36170212381167954,3.3999996600000344,0.018082220912576597,3.5553480614894135,4.553876891600541,78.81580035223774,C,0.0014934116108582369,C
11470-2023-00016,정수연,서울특별시 양천구,2023-03-02,서울특별시 양천구 신정동 922-22,2025-03-03,2026-03-02,1,홈즈공인중개사사무소,11470202300016,4550,133,4683,0.7561643835616438,4.509415258167081,2652.125,2692.5,2652.125,2692.5,1,1009,0.9715994018852019,2652.125,1895.2421346382268,0.028400597901259747,8.451907724717607,0.875,8,34.210526058567474,0.9715994018852019,568.7499289062589,1.7156054101086469,8.423102268016642,8.451907724717607,2110.0527548076248,S,0.013538713114317298,S
11680-2022-00027,우남혁,서울특별시 강남구,2022-01-14,서울특별시 강남구 역삼동 825-20,2025-01-14,2026-01-13,1,엔에이치공인중개사사무소,11680-2022-00027,182,36,218,0.8876712328767123,0.12807881764385726,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,1421,0.834862381491457,5373.442307692308,100.12665962118228,0.1651376139213871,5.389071729816501,0.4807692307692308,52,5.055555415123461,0.834862381491457,3.499999932692309,0.03387028082642463,5.209486152841421,5.389071729816501,194.68102854626423,B,0.0021804961995385026,B
11500-2022-00232,조우빈,서울특별시 강서구,2021-08-25,서울특별시 강서구 마곡동 797-1,2025-08-25,2026-08-24,1,집도사공인중개사사무소,11500-2022-00232,1419,140,1559,0.2767123287671232,0.9078694811849842,7493.90625,7538.03125,7493.90625,7538.03125,1,1563,0.9101988448298917,7493.90625,604.9846601567466,0.08980115452867148,7.352441100243583,0.59375,32,10.135714213316326,0.9101988448298917,44.34374861425786,0.1893538499778598,7.258412150595307,7.352441100243583,785.6603238204733,A,0.005685022728688922,A
11740-2020-00104,김대환,서울특별시 강동구,2020-04-29,서울특별시 강동구 성내동 429-4,2025-05-01,2026-04-30,1,(단지내)청춘공인중개사사무소,11740-2020-00104,0,0,0,0.5945205479452055,0.0,974.6666666666666,994.7777777777778,974.6666666666666,994.7777777777778,1,2046,0.0,974.6666666666666,1.0,0.0,0.0,0.2777777777777778,9,0.0,0.0,0.0,0.0,0.0,0.0,34.65208779105231,D,0.0012315193524760973,C
11680-2024-00239,백윤우,서울특별시 강남구,2024-08-06,서울특별시 강남구 역삼동 837-13,2025-08-07,2026-08-06,1,강남푸른공인중개사사무소,11680202400239,50,66,116,0.3260273972602739,0.1028806582245254,5373.442307692308,5450.538461538462,5373.442307692308,5450.538461538462,1,486,0.43103447904280623,5373.442307692308,34.95984095352944,0.5689655123365042,4.762173934797756,0.34615384615384615,52,0.7575757460973372,0.43103447904280623,0.9615384430473377,0.009305022205061712,3.9318256327243257,4.762173934797756,144.93955040410216,C,0.0018855276090272565,B
11560-2022-00095,김현배,서울특별시 영등포구,2021-12-08,서울특별시 영등포구 신길동 88-3,2024-12-08,2025-12-07,1,KB부동산공인중개사사무소,11560-2022-00095,25,20,45,0.989041095890411,0.017146776394275188,1880.3,1916.0,1880.3,1916.0,1,1458,0.5555555432098769,1880.3,27.838134060239057,0.4444444345679015,3.828641396489095,0.2,10,1.249999937500003,0.5555555432098769,2.499999750000025,0.013295750671012204,3.258096538021482,3.828641396489095,13.415081061893481,C,0.0011055832087275245,C
11320-2023-00005,조영기,서울특별시 도봉구,2023-02-02,서울특별시 도봉구 쌍문동 103-44,2025-02-02,2026-02-01,1,비전부동산공인중개사사무소,11320-2023-00005,0,20,20,0.8356164383561644,0.0,17.0,38.333333333333336,17.0,38.333333333333336,1,1037,0.0,17.0,1.0,0.9999999500000024,3.044522437723423,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.0,3.044522437723423,60.78383534377313,D,0.0013864814692268704,C
11650-2019-00244,이연진,서울특별시 서초구,2019-09-26,서울특별시 서초구 잠원동 60-3,2025-09-26,2026-09-25,1,이안공인중개사사무소,11650-2019-00244,0,0,0,0.1890410958904109,0.0,393.8,434.6,393.8,434.6,1,2262,0.0,393.8,1.0,0.0,0.0,0.2,10,0.0,0.0,0.0,0.0,0.0,0.0,13.758773813424707,D,0.001107621317973059,C
